key;de;en
THLT_0004_CHOICES1;Links;Left
THLT_0004_CHOICES2;Rechts;Right
THLT_0001_CHOICES;Ich habe die LautstÑrke eingestellt;I have adjusted the volume
THLT_0006_CHOICES1;RegelmÑ·ig von links nach rechts oder rechts nach links hin und her;Going back and forth regularly from left to right or right to left
THLT_0006_CHOICES2;UnregelmÑ·ig hin und her;Irregular back and forth
THLT_0006_CHOICES3;Langsame von links nach rechts;Slowly from left to right
THLT_0006_CHOICES4;Langsam von rechts nach links;Slowly from right to left
THLT_0007_CHOICES1;Der Ton wandert von links nach rechts und anschlie·end wieder zurÅck nach links;The tone moves from the left to the right side and back to the left side again.
THLT_0007_CHOICES2;Der Ton wandert von rechts nach links und anschlie·end wieder zurÅck nach rechts;The tone moves from the right to the left side and back to the right side again
THLT_0007_CHOICES3;Der Ton ist nur links zu hîren;The tone can only be heard on the left
THLT_0007_CHOICES4;Der Ton ist nur rechts zu hîren;The tone can only be heard on the right
TESTNAME;Kopfhîrer und Lautsprechertest;Headphone and Loudspeaker Test 
TESTNAME_SHORT;HALT;HALT
ENTER_ID;Bitte gib Deine ID ein;Please enter your ID
PROBLEMS_INFO_1;Probleme?;Problems?
PROBLEMS_INFO_2;Dann schreibe eine E-Mail an ;Contact 
PROBLEMS_INFO_3;mit dem Verweis auf diese Seite.; with a link to this page.
WARNING_IMPRECISE;Ihre Eingabe war leider falsch. Bitte wiederholen Sie die Aufgabe. Versuchen Sie dabei bitte genauer hinzuhîren.;Unfortunately, your input was wrong. Please repeat the task and listen more carefully.
WARNING_TOO_QUIET;Ihre Eingabe war leider falsch. Die WiedergabelautstÑrke ist vermutlich zu gering. Sie kînnen die LautstÑrke um einen kleinstmîglichen Wert erhîhen und danach die Aufgabe wiederholen.;Unfortunately, your input was wrong. The playback volume is probably too low. You can increase the volume by the smallest possible value and then repeat the task.
CONTINUE;Weiter;Continue
WELCOME;Willkommen zum Kopfhîrer und Lautsprechertest;Welcom to Headphone and Loudspeaker Test
INTRO_TEXT;Lore Ipsum;Lore Ipsum
THANKS;Lore Ipsum;Lore Ipsum
SUCCESS;Lore Ipsum;Lore Ipsum
